tic,status,period_grid_searched,sectors,points,discovery_points,holdout_points,tmag,distance_pc,source_sha256
459225605,screened,True,9,27695,7132,20563,11.52,21.24,a03f485bc84417c4f59b3b626862464ede0bbdf544ee0d48f0e6b377fd8afa8f
459255955,screened,True,3,6238,3399,2839,13.28,23.71,eb7253d4364b21994259289b2e1ea285e36dee82066720c379ac01eb2bc2ce09
459837153,screened,True,9,29210,6837,22373,13.65,33.0,4ad89fbbae676b8d6dbb86b1999187842cb5652583db3446f1e03855952c4a9d
461086188,screened,True,6,19460,7450,12010,13.76,45.28,7d93abd646b79d4450ea1a90f751bda35167b377b05830bcebc1192288e3e01a
461592543,screened,True,7,23369,6837,16532,13.45,36.0,11d28baa21eefc13e98a474e97cd0eaf6d7a7923c044b2c2f5b4f0326139e20a
461595886,screened,True,8,26509,6837,19672,12.87,33.1,3e32c3e908970c9ac18f92488bcddbe05b202568bc5afd5b98d9a0f8b607f857
461635002,screened,True,9,28012,6837,21175,11.69,14.47,ad306a448a52ff2d290f88d9d115e97779be6191d4fb442cf1b32b839ce03abc
462637035,screened,True,18,55575,28706,26869,13.93,33.8,ffb1d8b9395aa4e453c4a2a5c5ef8f8ee1199f1439447092ff5e3ea7be3ed7d0
466538554,screened,True,6,19955,7036,12919,12.06,16.58,2e56d6eeb131c9e1d34a036ac6f654d4afc7eaa35e9d7051a930e3ee3657ee1c
467178450,screened,True,4,12284,6538,5746,13.15,31.95,97ad1cb404065ce67fa6143a5c6cace865a2b43a573e27aeffefdbeedc550dbd
467254810,screened,True,10,32872,14854,18018,8.24,8.08,f5b74969c88d8f6fb4f6ae460d9eb49d4cdf2f53296822c7f771fa8a2131fab7
467302128,screened,True,5,16171,7037,9134,13.73,35.53,2c33bdeceb39d5077d59a33588b27535c6a848fb735d3a306f9694bb46ecdde5
467361606,screened,True,8,25734,8733,17001,12.33,24.5,8744d90aa09b936f7135639555b1662b4505ac2ec97c4ab4a91dea791de93b23
467465371,screened,True,4,12926,7419,5507,11.94,15.67,b0a2840a0b883b424556388707ee16f84b80d95dbdc1bcbecaad186093930864
468297427,screened,True,5,16095,6838,9257,13.75,40.16,e610814ae850407721a30c45ca0f5bf1b3df0817b7229c15627e8b34095433d1
468874504,screened,True,7,23063,6792,16271,12.86,30.22,573f3e36819e1a745dcd7f1ed0b1fd88a44a6b93fbde062cf6a021ceb487063d
469392302,screened,True,6,19557,8810,10747,13.47,17.89,db3eee0fc8fdbe89fed36ef00412fdb2624519455f17f2f6d0178b3ba254253b
469952937,screened,True,4,11575,7375,4200,12.84,25.8,53607be37b3a6ebe50ebe3ccc1279470d9ad51e68d9ca02f714ca5ccb9ade6e4
469952974,screened,True,4,12967,7402,5565,12.83,25.7,7fc8e2366c91a6fc0e9d673416de281af09e01334f55220c11388a891316f66b
469971792,screened,True,3,10129,7356,2773,13.88,34.88,637b945eeaaec9d15b39ee9ea2792295c1ff4eaca8b5f30b04392a80f19e253a
47973606,screened,True,14,41371,17198,24173,12.56,20.49,f47be41d1c2f50f8d71a4765e32d667770026b51653a2b3c94b6307e3cc5d5a7
49190174,screened,True,3,9509,6076,3433,13.18,31.88,e0b23e30764017864ef9cc8f669619cfa6ba040c987b844297e008bfe602d15f
49306639,screened,True,4,12412,6050,6362,13.28,16.67,063b1a6e14de9fb55d818273f025040c1e160e81d64d95da4766b631f97ed216
52183206,screened,True,3,6410,2526,3884,10.48,9.84,bea7361478d42ccb8ef011a3b00cd5aa7fb7f7ef58279b470ee6cf242de3cd4f
52932529,screened,True,6,18201,6420,11781,13.23,32.96,983806afd78ff53c7398204d4d77f14c4b5f0d3f16ddd17bbeb844e928b57ee1
53523370,screened,True,3,8363,5263,3100,13.73,27.74,98c050509c3a3cc60822ef83ee48c0fa78f29b095aa34f00206aad48a57d7b04
53897002,screened,True,4,11836,3218,8618,13.4,24.17,63e5a13efad3a5390798cdf3a01c144cc70ae5624660e50b35d675c1ddbe587c
54144488,screened,True,5,16365,3648,12717,12.95,18.35,6542d9adc0746ac606888272dd089c7aaa8c5a00b3291ccca08d346d24305e42
54469098,screened,True,6,19324,6883,12441,11.09,22.68,aeb58ef0ef566dd775b022cb62a8af98ae464561f62937aa58eeaddd2fb1cc06
55481273,screened,True,18,55566,27231,28335,13.68,42.11,7ed1406b1c0432739f1562f6bb5db1b88002f886968da7bade53da3df3b56cfd
55752859,screened,True,5,16010,6774,9236,12.78,20.02,5f3f9a56fca2cb5ce2423aca060368bd27cac706b67d0e89675046cff01ebe3c
5597639,screened,True,4,12605,3394,9211,12.59,16.64,cc45179ac22e9958ce4015f2f75e8279339a460da0777e1b7ec234c959093209
57031043,screened,True,4,9466,5397,4069,13.14,17.68,ec1c5f42ac89e19fd2f6e73132044715d73f3b588b40ce6c0ebe78ecef0942ef
57160643,screened,True,4,12410,7036,5374,12.8,34.45,267a187b2977c772bb6a05a11a76d6f997676f3ded8cea65533e8500b4929a02
57185991,screened,True,5,16323,6002,10321,12.96,21.0,9f4442ce0c5ff70db1ce1a8d49a873b45ac9d53924ae1963ddabfccde48b5ee9
57186214,screened,True,5,15809,6008,9801,12.88,25.32,585a59c59bb97951ca1ee8fb85cc32ffa2b9bba252df7d9f1b7f78015cd812b3
57231454,screened,True,4,9335,5189,4146,13.61,40.16,56f10df8bb025357cd6651372f3c07d4496c6f6a7b3b779c505695a942ea8383
57984826,screened,True,2,6093,3540,2553,12.37,12.25,1a0a41e7ded5ec46827a999c51a2ffe9c96e75d01dc4708b4d49c8b21a9e413b
59605392,screened,True,4,11837,6108,5729,13.43,39.51,686e1975fa9e9fe3f562fbb82f9fbec3aa151034091b9f1581744ce275bcc141
