tic,eligible_non_toi_ctoi_rank,batch_offset,batch_count
388606196,688,500,500
235062311,689,500,500
343410928,690,500,500
306980405,691,500,500
22742321,692,500,500
142979644,693,500,500
290305163,694,500,500
338288128,695,500,500
310657449,696,500,500
140689204,697,500,500
156495056,698,500,500
157912382,699,500,500
116306164,700,500,500
7739195,701,500,500
138579249,702,500,500
219004642,703,500,500
316976676,704,500,500
317475082,705,500,500
260972843,706,500,500
77289083,707,500,500
267858535,708,500,500
418291587,709,500,500
229614158,710,500,500
24796342,711,500,500
159818290,712,500,500
397137307,713,500,500
138073313,714,500,500
229738650,715,500,500
136945631,716,500,500
231022436,717,500,500
354572301,718,500,500
441664609,719,500,500
233306304,720,500,500
310836370,721,500,500
39427536,722,500,500
384667852,723,500,500
168873515,724,500,500
151827657,725,500,500
284596951,726,500,500
259861569,727,500,500
7422813,728,500,500
276976190,729,500,500
336538915,730,500,500
130093212,731,500,500
81352708,732,500,500
321816376,733,500,500
68073008,734,500,500
200368010,735,500,500
309857585,736,500,500
338137771,737,500,500
115287939,738,500,500
32677026,739,500,500
160602790,740,500,500
172994232,741,500,500
156004616,742,500,500
165688799,743,500,500
248070834,744,500,500
273631732,745,500,500
357397987,746,500,500
150359500,747,500,500
4510637,748,500,500
88780524,749,500,500
167010837,750,500,500
138471034,751,500,500
162337456,752,500,500
298265889,753,500,500
142808731,754,500,500
165721554,755,500,500
359356484,756,500,500
77318593,757,500,500
302923645,758,500,500
154341239,759,500,500
176948652,760,500,500
358767556,761,500,500
180972066,762,500,500
441686652,763,500,500
142439770,764,500,500
78823293,765,500,500
180671104,766,500,500
394730744,767,500,500
68766754,768,500,500
343404892,769,500,500
160491312,770,500,500
219223683,771,500,500
198150180,772,500,500
461595886,773,500,500
142738700,774,500,500
103298945,775,500,500
160228580,776,500,500
220433363,777,500,500
316451175,778,500,500
468297427,779,500,500
159190480,780,500,500
231833973,781,500,500
233461993,782,500,500
406484174,783,500,500
445367562,784,500,500
378527773,785,500,500
427515821,786,500,500
339956143,787,500,500
346565207,788,500,500
224303868,789,500,500
166012664,790,500,500
383381662,791,500,500
408094624,792,500,500
367681716,793,500,500
334651091,794,500,500
44646061,795,500,500
142980026,796,500,500
275190266,797,500,500
229400552,798,500,500
355918065,799,500,500
295893467,800,500,500
102903258,801,500,500
180628643,802,500,500
57160643,803,500,500
333278247,804,500,500
361871362,805,500,500
141247467,806,500,500
150100106,807,500,500
129810476,808,500,500
288516176,809,500,500
188777432,810,500,500
159302845,811,500,500
145284936,812,500,500
229535724,813,500,500
382268851,814,500,500
431383040,815,500,500
27349742,816,500,500
289922302,817,500,500
219376911,818,500,500
86231880,819,500,500
404507259,820,500,500
334799215,821,500,500
355867542,822,500,500
408702840,823,500,500
24692354,824,500,500
405253504,825,500,500
231290860,826,500,500
370004962,827,500,500
428738405,828,500,500
336541591,829,500,500
344290932,830,500,500
82365136,831,500,500
397533163,832,500,500
156462029,833,500,500
148969057,834,500,500
445835414,835,500,500
377862259,836,500,500
307438562,837,500,500
355704636,838,500,500
86231879,839,500,500
272781325,840,500,500
388566010,841,500,500
421856903,842,500,500
142439883,843,500,500
229158889,844,500,500
150362418,845,500,500
219823668,846,500,500
234504902,847,500,500
307290964,848,500,500
404449695,849,500,500
449798870,850,500,500
259374524,851,500,500
232075203,852,500,500
287444500,853,500,500
233959273,854,500,500
27350220,855,500,500
367856004,856,500,500
177313167,857,500,500
279674929,858,500,500
316404611,859,500,500
341417608,860,500,500
284892663,861,500,500
350734035,862,500,500
444830499,863,500,500
393894294,864,500,500
344136084,865,500,500
399912139,866,500,500
142442450,867,500,500
201289286,868,500,500
416781089,869,500,500
118539745,870,500,500
313610499,871,500,500
328800211,872,500,500
146730512,873,500,500
149927512,874,500,500
305794603,875,500,500
54469098,876,500,500
380035826,877,500,500
427919495,878,500,500
288507043,879,500,500
279742501,880,500,500
160270470,881,500,500
199659329,882,500,500
374029463,883,500,500
289536553,884,500,500
272635703,885,500,500
158014412,886,500,500
154090326,887,500,500
143394037,888,500,500
141029712,889,500,500
173614751,890,500,500
220554236,891,500,500
441606549,892,500,500
302554247,893,500,500
445285461,894,500,500
59605392,895,500,500
417118702,896,500,500
417235334,897,500,500
197866266,898,500,500
24622364,899,500,500
229744768,900,500,500
441811392,901,500,500
229572009,902,500,500
219480910,903,500,500
161725589,904,500,500
334835095,905,500,500
364264680,906,500,500
137158728,907,500,500
260609189,908,500,500
38759628,909,500,500
402980664,910,500,500
57231454,911,500,500
372731881,912,500,500
215402573,913,500,500
147948928,914,500,500
317394133,915,500,500
156495054,916,500,500
350433330,917,500,500
237076895,918,500,500
177385959,919,500,500
375273689,920,500,500
376639349,921,500,500
312546580,922,500,500
